ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.080185738,12284364.138,122843641.38,-12063115.34,-120631153.4,63852.332363,159856.28628,159953.4879,-122909513.9,2278360.5232,0
AFG,MZ,gfdl,2020,best,-0.070969329,11990369.489,242747336.27,-11514766.83,-234174101.6,70794.920115,177352.91102,178262.9911,-242609587.7,8435486.0669,0
AFG,MZ,gfdl,2030,best,-0.053057783,27370877.173,516456108,-12156886.6,-366920402,78025.068242,195584.77356,197246.0999,-380680533.1,13760131.095,0
AFG,MZ,gfdl,2050,best,-0.05375245,12462255.028,641078658.28,-12783975.22,-502172519.4,83714.393254,209860.61175,211815.5284,-517457197.7,15284678.276,0
AFG,MZ,hadgem,2005,best,-0.05985783,29542458.589,295424585.89,-17126555.1,-171265551,111432.71113,166676.58188,163530.0836,-178134494.9,6868943.9156,0
AFG,MZ,hadgem,2020,best,-0.065564885,24017176.071,535596346.6,-18700814.61,-372080156.5,134834.4213,201000.8246,189091.3685,-383881908.8,11801752.23,0
AFG,MZ,hadgem,2030,best,-0.046372026,51449543.411,1050091780.7,-20186750.61,-594290554.4,166468.97281,246576.08769,229832.7735,-606337200.8,12046646.345,0
AFG,MZ,hadgem,2050,best,-0.015140917,31837126.954,1368463050.3,-19009235.22,-765527302.4,190482.95052,281249.80749,280812.3909,-783308795.3,17781492.934,0
AFG,RI,gfdl,2005,best,-0.558779138,90715334.976,907153349.76,-71467600.95,-714676009.5,79177.557758,172909.31865,185344.0234,-962394887.1,62619580.663,185099296.9
AFG,RI,gfdl,2020,best,-0.339161325,74668917.338,1653842523.1,-57677507.32,-1188327828,81883.697932,174550.06124,187066.036,-1718543265,152838393.4,377377043.52
AFG,RI,gfdl,2030,best,-0.414078656,80316646.617,2457008989.3,-49722424.85,-1579953767,84054.390288,176470.49653,190032.8178,-2419417434,223180566.37,616283100.01
AFG,RI,gfdl,2050,best,-0.689492312,94037708.015,3397386069.5,-55345048.36,-2253891096,86458.186808,178678.38057,191524.356,-3386539039,342710461.38,789937481.09
AFG,RI,hadgem,2005,best,-0.55935552,107203265.79,1072032657.9,-77666629.45,-776666294.5,110239.49516,177755.61977,189438.7353,-1023215721,111501653.9,135047772.29
AFG,RI,hadgem,2020,best,-0.295791032,74710869.123,1819141349.2,-60501519.66,-1283768291,112191.44893,179671.78372,195087.8527,-1850605040,213038012.38,353798737.27
AFG,RI,hadgem,2030,best,-0.467150817,82628313.492,2645424484.1,-48887279.67,-1698849316,112017.6263,178877.08333,196735.7944,-2665219904,319718617.47,646651970.25
AFG,RI,hadgem,2050,best,-0.779265562,74306149.484,3388485978.9,-78148595.99,-2496188527,113475.08008,180463.76997,196517.3033,-3574764207,511551727.49,567023952
AFG,WH,gfdl,2005,best,-0.086968199,322931883.37,3229318833.7,-80400008.2,-804000082,1336240.6833,2255048.1351,2239411.873,-790825933.6,-13174148.45,0
AFG,WH,gfdl,2020,best,-0.064629217,260245671.01,5831775543.8,-112228431.1,-1816128010,1321885.8978,2234141.824,2216763.004,-1361339100,-454788910,0
AFG,WH,gfdl,2030,best,-0.061485369,423984411.84,10071619662,-67454973.04,-2568396326,1292680.3376,2188172.5158,2169307.767,-2158586528,-409809797.7,0
AFG,WH,gfdl,2050,best,-0.090791662,392618053.2,13997800194,-155112235.8,-3704925933,1261707.5376,2139679.6891,2119872.426,-2325325036,-1379600897,0
AFG,WH,hadgem,2005,best,-0.088456702,349819803.77,3498198037.7,-135469226.9,-1354692269,1713974.7234,2246099.5373,2235314.673,-1306301998,-48390271.17,0
AFG,WH,hadgem,2020,best,-0.068202359,328524489.77,6783442935.4,-183428681.5,-3091448368,1688533.8731,2214815.0235,2207775.323,-2417542565,-673905803.6,0
