ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.091761371,4575781.8107,45757818.107,-10689240.34,-106892403.4,64022.596652,160221.07177,159953.48754,-108409818.7,1517415.3078,0
AFG,MZ,gfdl,2020,best,-0.086345595,6196989.65,107727714.61,-11313815.86,-226992989.6,71248.894834,178403.49943,178262.99081,-230744492.6,3751503.0436,0
AFG,MZ,gfdl,2030,best,-0.086355531,5971564.6114,167443360.72,-12559277.15,-378131919.2,78831.628461,197490.15758,197246.1004,-384435976,6304056.8522,0
AFG,MZ,gfdl,2050,best,-0.044945256,9012928.3588,257572644.31,-12468227.39,-498573354.8,84919.555151,212694.65165,211815.52887,-506926850.3,8353495.4848,0
AFG,MZ,hadgem,2005,best,-0.070307095,8920805.2618,89208052.618,-19370508.55,-193705085.5,111391.2273,166535.76696,163530.08269,-197474353.4,3769267.9342,0
AFG,MZ,hadgem,2020,best,-0.045888442,5094907.5907,140157128.52,-17198784.22,-333739990.3,135042.68093,201261.89588,189091.36755,-331042832.1,-2697158.243,0
AFG,MZ,hadgem,2030,best,-0.077887699,8380374.9271,223960877.8,-23121898.84,-621450038.8,168162.25002,248967.06039,229832.77291,-581300838.2,-40149200.62,0
AFG,MZ,hadgem,2050,best,-0.008807515,9480769.1167,318768568.96,-17675073.58,-756836553,193580.73485,285606.46977,280812.39036,-719915488.9,-36921064.15,0
AFG,RI,gfdl,2005,best,-0.276309116,46930278.86,469302788.6,-26949034.43,-269490344.3,81673.733805,180179.18567,185344.02325,-542109753.1,-25257753.37,297877162.13
AFG,RI,gfdl,2020,best,-0.121136002,37105022.45,840353013.1,-9239962.247,-247958839,84431.486334,182290.83108,187066.0363,-856357250.7,-34017264.96,642415676.57
AFG,RI,gfdl,2030,best,-0.186026331,44820771.795,1288560731.1,-9787942.78,-240603011,86661.419426,184570.18621,190032.81756,-1126682992,-58196361.2,944276342.43
AFG,RI,gfdl,2050,best,-0.412031418,52227157.615,1810832307.2,-18802354.02,-526324378.1,88974.627707,186587.63945,191524.35685,-1632507759,-46661820.01,1152845200.7
AFG,RI,hadgem,2005,best,-0.262916784,55992462.509,559924625.09,-20690644.15,-206906441.5,113485.84494,183341.08647,189438.73517,-452364305.7,6266901.1594,239190963.06
AFG,RI,hadgem,2020,best,-0.131915886,33563827.322,895562898.31,-12911703.79,-353710249.5,116133.5422,186457.17005,195087.85252,-940102151.6,-22572710.8,608964612.96
AFG,RI,hadgem,2030,best,-0.164916608,31758085.402,1213143752.3,-8939651.313,-326469670.4,116500.89088,186608.66633,196735.7934,-1235197589,-19545471.41,928273390.15
AFG,RI,hadgem,2050,best,-0.476149705,30477607.146,1517919823.8,-57455762.5,-932640940.5,118093.51861,188517.23696,196517.30364,-1689081646,17749331.992,738691373.14
AFG,WH,gfdl,2005,best,-0.039651537,64211759.212,642117592.12,-95509269.85,-955092698.5,1328106.6423,2242293.76,2239411.8711,-824502818.8,-130589879.7,0
AFG,WH,gfdl,2020,best,-0.025059874,16631178.115,808429373.27,-90775283.43,-1694192382,1312804.018,2219807.6666,2216763.0018,-1311699336,-382493046.1,0
AFG,WH,gfdl,2030,best,-0.024052497,22819751.51,1036626888.4,-99278147.68,-2460405980,1282644.7795,2172114.7309,2169307.7686,-1627697185,-832708794.4,0
AFG,WH,gfdl,2050,best,-0.034487152,59247577.159,1629102660,-125854124.7,-3334297178,1250405.5712,2121422.3964,2119872.4249,-1657396182,-1676900996,0
AFG,WH,hadgem,2005,best,-0.036900818,53707512.487,537075124.87,-136658255.4,-1366582554,1704451.2342,2234587.1472,2235314.6757,-924084894.1,-442497660.4,0
AFG,WH,hadgem,2020,best,-0.041546938,21046697.989,747542104.76,-225549910.1,-3545144395,1677171.6813,2200768.1242,2207775.3215,-1694295266,-1850849128,0
AFG,WH,hadgem,2030,best,-0.058950255,88581813.438,1633360239.1,-314511727.2,-6279952871,1632895.6652,2144955.7406,2155849.9968,-1925979707,-4353973165,0
AFG,WH,hadgem,2050,best,-0.060618448,87197872.19,2505338961,-386436153.4,-9157227298,1592720.5406,2095190.8665,2099548.8252,-1251856799,-7905370499,0
AGO,MZ,gfdl,2005,best,-0.241959748,252122689.85,2521226898.5,-232387805.8,-2323878058,1124057.6733,1188671.8705,1142347.0374,-2270881738,-52996320.34,0
AGO,MZ,gfdl,2020,best,-0.476799293,760659882.73,10127825726,-307626489.5,-6168290487,1220478.2119,1290605.8941,1234967.5332,-6078058543,-90231943.52,0
AGO,MZ,gfdl,2030,best,-0.128711611,294577072.6,13073596452,-289238474.4,-7713562180,1316947.6363,1392579.8126,1327044.4442,-7096418238,-617143941.6,0
AGO,MZ,gfdl,2050,best,-0.084691315,511142264.64,18185019098,-166625536,-7050692888,1388411.2188,1468118.9843,1392193.1683,-6356391449,-694301439.1,0
AGO,MZ,hadgem,2005,best,-0.150991516,255934462.38,2559344623.8,-196796629.2,-1967966292,1134576.8838,1199766.1688,1160797.3114,-1997901473,29935180.534,0
AGO,MZ,hadgem,2020,best,-0.173528968,188734755.59,4446692179.7,-244767901.9,-4554421756,1264995.1092,1337632.3042,1286609.8432,-4273355836,-281065920.7,0
AGO,MZ,hadgem,2030,best,-0.100986123,407623940.55,8522931585.2,-208147576.6,-5216065769,1393381.5438,1473339.4677,1408863.1831,-4280286125,-935779644.9,0
AGO,MZ,hadgem,2050,best,-0.162809029,635763162.28,14880563208,-157752437.4,-7010922479,1493778.2848,1579461.0704,1501724.1622,-5996824613,-1014097866,0
AGO,WH,gfdl,2005,best,-0.890405808,379161.21211,3791612.1211,-490831.001,-4908310.01,2789.0278828,2817.1998817,2645.8796256,-5279905.003,371594.9932,0
AGO,WH,gfdl,2020,best,-0.397557852,402541.6833,7817028.9541,-309416.3045,-5810841.937,2314.5482978,2337.9275735,2194.8231498,-6176547.771,365705.83383,0
AGO,WH,gfdl,2030,best,-0.387401313,176197.92139,9579008.168,-301641.9192,-8512042.069,1741.2455447,1758.8338836,1653.6616032,-8791993.067,279950.99714,0
AGO,WH,gfdl,2050,best,-0.275755391,169029.27332,11269300.901,-197792.1568,-7631735.274,1463.1617869,1477.9411991,1390.8314505,-7911686.271,279950.99714,0
AGO,WH,hadgem,2005,best,-0.711384279,286955.53856,2869555.3856,-506756.7095,-5067567.095,2275.0297247,2766.189118,2654.2029844,-5370344.368,302777.27255,0
AGO,WH,hadgem,2020,best,-0.500048337,283124.05473,5700795.9329,-286411.5843,-5565168.56,1902.7520553,2313.5398948,2225.4034841,-6007659.978,442491.41832,0
AGO,WH,hadgem,2030,best,-0.079359575,97415.892598,6674954.8589,-196796.7586,-5503215.278,1465.1876867,1781.5091342,1719.6760276,-5966608.665,463393.38683,0
AGO,WH,hadgem,2050,best,-0.17813768,149275.94476,8167714.3065,-130733.0349,-4745596.161,1278.3684825,1554.357267,1505.6608386,-5202212.265,456616.1045,0
ALB,WH,gfdl,2005,best,-0.046439087,1749329.8906,17493298.906,-13803057.49,-138030574.9,77570.898272,78354.442699,78423.314958,-141430833.6,3400258.7161,0
ALB,WH,gfdl,2020,best,-0.030116231,1361508.9467,31108388.373,-12764056.94,-240199791.4,76377.076225,77148.561844,77207.91968,-231918961.5,-8280829.894,0
ALB,WH,gfdl,2030,best,-0.027890162,1487647.9025,45984867.398,-12563059.45,-320037398.7,74714.293137,75468.982967,75536.90389,-279188961.6,-40848437.17,0
ALB,WH,gfdl,2050,best,-0.008293462,3909237.9024,85077246.423,-7493000.096,-331508315.5,73328.079336,74068.767006,74126.897696,-287639836.6,-43868478.99,0
ALB,WH,hadgem,2005,best,-0.031213051,1437497.9757,14374979.757,-8946022.13,-89460221.3,76007.158193,77859.18874,78122.271005,-97433776.18,7973554.8769,0
ALB,WH,hadgem,2020,best,-0.032060453,536585.00155,19740829.773,-11652488.01,-192111693.2,74569.039842,76355.165318,76611.786314,-167120735.9,-24990957.25,0
ALB,WH,hadgem,2030,best,-0.029157922,1250266.0335,32243490.107,-10907999.25,-278633544,73571.389933,75304.052429,75522.36345,-216843891.4,-61789652.65,0
ALB,WH,hadgem,2050,best,-0.007815442,5767583.8244,89919328.351,-6073003.832,-284449793.1,73581.358287,75295.448439,75492.064593,-215906802.9,-68542990.25,0
ARG,MZ,gfdl,2005,best,-0.035998997,18167975.089,181679750.89,-63850331.76,-638503317.6,347177.6262,2717784.9204,2736461.5071,-31766953.87,-606736363.8,0
ARG,MZ,gfdl,2020,best,-0.055899278,15320731.102,334887061.91,-111110079,-1734623909,387592.58494,3049495.9954,3081001.5892,-33573510.26,-1701050398,0
ARG,MZ,gfdl,2030,best,-0.04979377,14701748.859,481904550.49,-124426281.5,-2988426206,436380.71584,3443332.9128,3483433.0095,-64669487.95,-2923756718,0
ARG,MZ,gfdl,2050,best,-0.045975237,24121567.681,723120227.3,-97016555.79,-4024825357,480444.51355,3799216.5357,3846526.2006,-174537442,-3850287915,0
ARG,MZ,hadgem,2005,best,-0.038486667,20036520.686,200365206.86,-80393659.47,-803936594.7,411040.45346,2794462.2977,2810085.948,89875402.304,-893811997,0
ARG,MZ,hadgem,2020,best,-0.067630535,14843669.432,348801901.17,-158736676.8,-2392844487,476391.18676,3265499.0181,3295344.5358,176668554.72,-2569513042,0
ARG,MZ,hadgem,2030,best,-0.062540455,12176710.317,470569004.34,-169641202.7,-4184848453,547896.93793,3775255.1827,3816833.413,121614923.02,-4306463376,0
ARG,MZ,hadgem,2050,best,-0.064176613,31057562.677,781144631.12,-138624986.2,-5783790404,609710.69829,4218680.6055,4276029.8135,-121436221.9,-5662354183,0
ARG,WH,gfdl,2005,best,-0.023890476,677767.51506,6777675.1506,-5495295.541,-54952955.41,102308.02684,5606601.9713,5637214.0002,34347815.273,-89300770.68,0
ARG,WH,gfdl,2020,best,-0.056686988,1102799.3827,17805668.977,-4841347.809,-158892984.4,108464.07851,5955900.7559,5993064.9934,-42357471.3,-116535513.1,0
ARG,WH,gfdl,2030,best,-0.049036037,1512106.9593,32926738.57,-7103885.922,-252607709.8,114691.4554,6303552.1587,6348784.027,-97550006.18,-155057703.6,0
ARG,WH,gfdl,2050,best,-0.080732756,810330.45778,41030043.148,-8736937.079,-384285755.3,121127.50993,6659985.3638,6712903.2476,-189144907.9,-195140847.4,0
