ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.053148441,20236072.539,202360725.39,-12131982.49,-121319824.9,63030.65906,157950.08064,159953.48754,-124741655.2,3421830.3417,0
AFG,MZ,gfdl,2020,best,-0.066643883,16618683.867,368547564.06,-11527537.8,-231743795.3,69672.420225,174736.31484,178262.99081,-239780495.3,8036699.9541,0
AFG,MZ,gfdl,2030,best,-0.064645841,68148806.799,1050035632,-11229918.45,-350085371.6,76311.756042,191539.65128,197246.1004,-368734330.6,18648958.981,0
AFG,MZ,gfdl,2050,best,-0.038295847,17967785.755,1229713489.6,-11849074.9,-458987187.8,81465.393744,204553.36075,211815.52887,-478860530.4,19873342.559,0
AFG,MZ,hadgem,2005,best,-0.041706852,56190784.003,561907840.03,-10903400.25,-109034002.5,111736.54254,167390.36921,163530.08269,-115706287.6,6672285.0955,0
AFG,MZ,hadgem,2020,best,-0.066201605,42136914.32,983276983.23,-15897542.65,-324491683.4,130698.45085,195593.2188,189091.36755,-344377084.2,19885400.726,0
AFG,MZ,hadgem,2030,best,-0.035096076,134972050.73,2332997490.5,-14768847.53,-472476281.4,161399.53681,239845.6519,229832.77291,-517009810.2,44533528.803,0
AFG,MZ,hadgem,2050,best,-0.007579393,65647600.728,2989473497.8,-16567947.71,-628055935.5,186457.84487,275946.92001,280812.39036,-675879982.8,47824047.359,0
AFG,RI,gfdl,2005,best,-0.911029999,188111963.96,1881119639.6,-158974040.1,-1589740401,78736.029378,167803.15951,185344.02325,-1710003638,295794721.6,-175531483.8
AFG,RI,gfdl,2020,best,-0.678864922,183469694.01,3715816579.7,-157510678.9,-3184382808,81805.491772,169672.6023,187066.0363,-3459078514,644335432.19,-369639726.6
AFG,RI,gfdl,2030,best,-0.754217685,164582245.68,5361639036.5,-144803538.4,-4551861092,84410.098044,171919.43756,190032.81756,-5067782121,947632544.02,-431711515.4
AFG,RI,gfdl,2050,best,-1.234140551,230607861.05,7667717646.9,-169888611.9,-6411310435,87488.532742,174999.81849,191524.35685,-6971127126,1477535051.7,-917718360.9
AFG,RI,hadgem,2005,best,-0.980375177,235539004.25,2355390042.5,-199368072.1,-1993680721,109739.00023,175830.36553,189438.73517,-1738355815,595325252.61,-850650159.3
AFG,RI,hadgem,2020,best,-0.614420581,213601594.61,4491405988.6,-150073431,-3501591992,112017.5242,177997.95751,195087.85252,-3491065550,1039266925.5,-1049793368
AFG,RI,hadgem,2030,best,-0.86763374,194762745.96,6439033448.2,-131817234.1,-4852013808,111603.56582,176746.5868,196735.7934,-5284972537,1460843590.9,-1027884861
AFG,RI,hadgem,2050,best,-1.347928644,173156013.31,8170593581.3,-185071473,-6573685612,112798.31883,177887.49234,196517.30364,-6874572816,2225495481.7,-1924608278
AFG,WH,gfdl,2005,best,-0.136770913,761181329.85,7611813298.5,-111924570.3,-1119245703,1340804.7812,2261984.6859,2239411.8711,-1241589483,122343780.36,0
AFG,WH,gfdl,2020,best,-0.103158562,759071736.91,15202530668,-90990641.63,-1725871858,1324119.8236,2237366.7886,2216763.0018,-1876618444,150746585.88,0
AFG,WH,gfdl,2030,best,-0.077299639,1041829388.6,25620824553,-48641042.37,-2461506293,1294406.4258,2190900.1358,2169307.7686,-3188763683,727257389.93,0
AFG,WH,gfdl,2050,best,-0.155089095,821358768.07,33834412234,-100915237.8,-2837691644,1263027.6883,2142006.9741,2119872.4249,-3407728874,570037230.14,0
AFG,WH,hadgem,2005,best,-0.141297878,804788962.18,8047889621.8,-169423013.5,-1694230135,1716158.0642,2246486.8334,2235314.6757,-1867189075,172958940.04,0
AFG,WH,hadgem,2020,best,-0.107745275,867081777.7,16718707399,-154484290.6,-3113327133,1691341.6996,2215703.8034,2207775.3215,-3482886334,369559201.01,0
AFG,WH,hadgem,2030,best,-0.069515671,1465459070.3,31373298101,-57150603.63,-3031711594,1648222.2049,2161555.4692,2155849.9968,-4244647138,1212935544.1,0
AFG,WH,hadgem,2050,best,-0.11719831,1052866416.9,41901962270,-140497481.9,-3920799520,1606499.3282,2109890.3476,2099548.8252,-4971680327,1050880806.8,0
AGO,MZ,gfdl,2005,best,-0.40495658,1061267685,10612676850,-46692463.69,-466924636.9,1214284.1898,1284419.1694,1142347.0374,-322331991.7,-144592645.2,0
AGO,MZ,gfdl,2020,best,-0.566456317,933676229.85,19949439149,-249746818,-5165942849,1329683.8964,1406485.6138,1234967.5332,-5047764048,-118178800.7,0
AGO,MZ,gfdl,2030,best,-0.174300047,1099189780.1,30941336950,-95476602.25,-2608668265,1442137.6034,1525423.4036,1327044.4442,-2303585163,-305083102.2,0
AGO,MZ,gfdl,2050,best,-0.452896001,2088640515.4,51827742103,-165415859.4,-6556441148,1529495.2543,1617828.8827,1392193.1683,-6129599268,-426841879.4,0
AGO,MZ,hadgem,2005,best,-0.21225742,596945844.39,5969458443.9,-251574621,-2515746210,1144075.9129,1209909.9292,1160797.3114,-3171871861,656125650.72,0
AGO,MZ,hadgem,2020,best,-0.136232412,719452153.03,13163979974,99047075.901,2571729986.9,1264505.0685,1337216.1199,1286609.8432,1850267154.4,721462832.54,0
AGO,MZ,hadgem,2030,best,-0.250593928,1373799778,26901977754,70566847.605,3308524380.9,1379380.4609,1458637.4066,1408863.1831,2822089608.4,486434772.45,0
AGO,MZ,hadgem,2050,best,-0.055785394,785278848.83,34754766242,118846052.84,6354495757.7,1465682.0721,1549850.7961,1501724.1622,6239467275.9,115028481.85,0
AGO,WH,gfdl,2005,best,-1.223248592,1135214.9746,11352149.746,-103815.7191,-1038157.191,2873.4263809,2902.4508898,2645.8796256,-360967.8503,-677189.3404,0
AGO,WH,gfdl,2020,best,-0.686704463,808366.41425,19435813.889,44747.347075,390241.99083,2386.4742666,2410.5800672,2194.8231498,1239915.7209,-849673.7301,0
AGO,WH,gfdl,2030,best,-0.340617536,430119.51623,23737009.051,32277.075923,295971.50188,1800.3661859,1818.5517029,1653.6616032,1234311.7091,-938340.2072,0
AGO,WH,gfdl,2050,best,-0.631501141,590930.76241,29646316.675,31496.254748,357232.58961,1520.5249555,1535.8837932,1390.8314505,1307480.3324,-950247.7428,0
AGO,WH,hadgem,2005,best,-1.080700856,656257.57328,6562575.7328,-67306.80426,-673068.0426,2230.8259609,2712.4421411,2654.2029844,-293176.0133,-379892.0293,0
AGO,WH,hadgem,2020,best,-0.859893654,466995.0829,11232526.562,61410.901581,986135.34405,1846.4322038,2245.0610706,2225.4034841,1503836.715,-517701.371,0
AGO,WH,hadgem,2030,best,-0.668872001,318455.81397,14417084.701,43458.700208,813601.52135,1409.3025357,1713.5588586,1719.6760276,1345073.8354,-531472.314,0
AGO,WH,hadgem,2050,best,-0.384647993,260803.98637,17025124.565,32512.947525,769045.58695,1215.1618472,1477.5048617,1505.6608386,1300517.901,-531472.314,0
ALB,WH,gfdl,2005,best,-0.059346892,13501087.242,135010872.42,-15029010.43,-150290104.3,74979.455005,75736.823238,78423.314958,-172540363.1,22250258.812,0
ALB,WH,gfdl,2020,best,-0.023903211,9360522.5182,228616097.6,-9754079.982,-208201258.2,73145.295208,73884.136574,77207.91968,-265821434.5,57620176.224,0
ALB,WH,gfdl,2030,best,-0.012736532,6817593.4459,296792032.06,-8977366.645,-225376273.5,71267.465246,71987.338632,75536.90389,-289834175,64457901.433,0
ALB,WH,gfdl,2050,best,-0.014387013,13870122.425,435493256.31,-6260334.479,-226570881,69758.188726,70462.816895,74126.897696,-304567250.1,77996369.181,0
