ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.080179626,12286431.098,122864310.98,-12065410.36,-120654103.6,63865.458719,159897.19805,159953.4879,-122933362.5,2279258.8615,0
AFG,MZ,gfdl,2020,best,-0.070962701,11990358.41,242767895.09,-11515899.59,-234195717.6,70799.824944,177371.74281,178262.9911,-242631961,8436243.4233,0
AFG,MZ,gfdl,2030,best,-0.053057378,27370506.461,516472959.69,-12157784.15,-366946840.4,78029.546288,195600.15213,197246.0999,-380707863.6,13761023.165,0
AFG,MZ,gfdl,2050,best,-0.053755965,12462990.491,641102864.61,-12785385.46,-502228760.3,83718.858825,209874.72834,211815.5284,-517514571.8,15285811.546,0
AFG,MZ,hadgem,2005,best,-0.059875696,29829779.896,298297798.96,-17283493.95,-172834939.5,112465.92664,168093.00991,163530.0836,-179769127.6,6934188.0726,0
AFG,MZ,hadgem,2020,best,-0.065604883,24251615.069,540813949.65,-18876795.03,-375576153.1,136101.85229,202739.67952,189091.3685,-387484781.8,11908628.618,0
AFG,MZ,hadgem,2030,best,-0.046375696,51717402.034,1057987970,-20336185.48,-598664100.8,167265.86851,247669.37458,229832.7735,-610816311.9,12152211.097,0
AFG,MZ,hadgem,2050,best,-0.01514327,31899317.535,1376981145.3,-19107623.8,-769374820.2,190849.53527,281752.77886,280812.3909,-787267724.4,17892904.25,0
AFG,RI,gfdl,2005,best,-1.035335151,70707060.813,707070608.13,-227434279.4,-2274342794,78479.919078,170893.94373,185344.0234,-782645763.3,121596117.45,-1613293148
AFG,RI,gfdl,2020,best,-0.340768676,74559614.313,1452666751.3,-48649233.89,-2745617061,81430.323484,173204.57144,187066.036,-1534855383,211870395.01,-1422632073
AFG,RI,gfdl,2030,best,-0.586745477,74506751.255,2197734263.8,-110263198.5,-3771446200,83747.673717,175647.9914,190032.8178,-2187078807,278143514.2,-1862510907
AFG,RI,gfdl,2050,best,-0.689709404,93990584.836,3137640112.2,-49500035.35,-4442598387,86338.238176,178427.54709,191524.356,-3150974188,397701650.14,-1689325850
AFG,RI,hadgem,2005,best,-0.579348641,116943769.82,1169437698.2,-88359979.84,-883599798.4,115770.19714,178270.16884,189438.7353,-1120890992,133384050.11,103907143.65
AFG,RI,hadgem,2020,best,-0.315383322,82935108.561,1998788783.8,-68749597.85,-1467928536,118055.66422,179885.82449,195087.8527,-2035447503,249144152.05,318374814.71
AFG,RI,hadgem,2030,best,-0.489258126,90221253.546,2901001319.2,-57586433.32,-1961778142,117975.79594,178966.3249,196735.7944,-2930149164,379504182.14,588866839.31
AFG,RI,hadgem,2050,best,-0.81247525,73434022.494,3635341544.2,-113677615.6,-3038853470,119440.43041,180119.0075,196517.3033,-3827264447,620321471.45,168089506.08
AFG,WH,gfdl,2005,best,-0.086939922,323064320.25,3230643202.5,-80454301.11,-804543011.1,1336947.4813,2256396.4988,2239411.873,-791181441.3,-13361569.81,0
AFG,WH,gfdl,2020,best,-0.064628352,260311968.83,5833762890.8,-112313302.9,-1817533963,1322319.4208,2234974.5646,2216763.004,-1362078730,-455455233.6,0
