ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.091755939,4576228.9216,45762289.216,-10689580.95,-106895809.5,64025.248191,160232.0447,159953.48754,-108413709,1517899.4443,0
AFG,MZ,gfdl,2020,best,-0.086340555,6196625.767,107728546.89,-11313504.4,-226986261.3,71244.761848,178397.27782,178262.99081,-230738233.3,3751972.0614,0
AFG,MZ,gfdl,2030,best,-0.086354341,5970689.4178,167435441.06,-12558484.92,-378107027.6,78822.753145,197469.80472,197246.1004,-384411225.7,6304198.1094,0
AFG,MZ,gfdl,2050,best,-0.044943946,9011694.2808,257552383.87,-12467496.56,-498543081,84908.856352,212666.90107,211815.52887,-506896418.1,8353337.0458,0
AFG,MZ,hadgem,2005,best,-0.070348475,8990760.5503,89907605.503,-19541350.17,-195413501.7,112346.25335,167842.61384,163530.08269,-199209782.2,3796280.5313,0
AFG,MZ,hadgem,2020,best,-0.045908656,5235877.3104,142266378.61,-17667019.83,-342791630.2,139484.8076,207353.19313,189091.36755,-339835425,-2956205.298,0
AFG,MZ,hadgem,2030,best,-0.077938869,8534648.5233,227612863.84,-23553721.38,-633080540.9,171318.26014,253292.95579,229832.77291,-591880682.8,-41199858.15,0
AFG,MZ,hadgem,2050,best,-0.008815151,9564861.7914,323261481.75,-18009981.36,-771310546.6,195752.94783,288578.37932,280812.39036,-733347833.2,-37962713.48,0
AFG,RI,gfdl,2005,best,-1.111637277,34731102.038,347311020.38,-276901840.1,-2769018401,81363.049895,179232.56927,185344.02325,-470455450.7,26754649.001,-2325317599
AFG,RI,gfdl,2020,best,-0.121425189,37118655.79,718497578.28,-5281163.361,-2739709918,84312.697531,181852.35787,187066.0363,-776670668.6,17981415.365,-1981020665
AFG,RI,gfdl,2030,best,-0.420255837,38675692.373,1105254502,-96987159.05,-3585655902,86674.46742,184528.09475,190032.81756,-979117593.5,18672543.684,-2625210852
AFG,RI,gfdl,2050,best,-0.411917216,52331708.885,1628571590.9,-14950137.31,-3865397535,89133.423442,186955.13576,191524.35685,-1479143804,30333135.515,-2416586866
AFG,RI,hadgem,2005,best,-0.273375546,60752696.792,607526967.92,-23673165.82,-236731658.2,118144.39262,182863.95107,189438.73517,-485333113.9,6578367.5818,242023088.18
AFG,RI,hadgem,2020,best,-0.137866287,35852043.9,966047406.91,-14981452.78,-398532306.7,119878.95544,184172.13179,195087.85252,-994638469.3,-24578392.3,620684554.87
AFG,RI,hadgem,2030,best,-0.176509766,32990952.218,1295956929.1,-15745261.98,-410015676.1,119763.07172,183515.54095,196735.7934,-1273003828,-2002766.656,864990918.86
AFG,RI,hadgem,2050,best,-0.622005968,6213770.3997,1358094633.1,-175823397.4,-1900351330,120302.96344,183760.96946,196517.30364,-1340140679,235580313.45,-795790965
AFG,WH,gfdl,2005,best,-0.039644379,64246435.497,642464354.97,-95517453.13,-955174531.3,1328447.9563,2242947.199,2239411.8711,-824486918.5,-130687612.8,0
AFG,WH,gfdl,2020,best,-0.025058293,16632211.682,808786471.8,-90780240.05,-1694411816,1312910.4831,2220025.9039,2216763.0018,-1311843606,-382568210.5,0
AFG,WH,gfdl,2030,best,-0.024052129,22820111.708,1036987588.9,-99279056.46,-2460401386,1282657.6168,2172146.7056,2169307.7686,-1627563916,-832837469.6,0
AFG,WH,gfdl,2050,best,-0.034486937,59244640.519,1629433994.1,-125838514.4,-3334217769,1250285.5178,2121201.7962,2119872.4249,-1657326874,-1676890895,0
