ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.053154923,20241186.25,202411862.5,-12137229.99,-121372299.9,63052.809989,158016.68254,159953.48754,-124795316.6,3423016.7306,0
AFG,MZ,gfdl,2020,best,-0.066632101,16619869.338,368610555.89,-11530107.71,-231794529.1,69685.641858,174778.97042,178262.99081,-239832937.4,8038408.2712,0
AFG,MZ,gfdl,2030,best,-0.064643062,68161529.047,1050225846.4,-11232444.88,-350164179.4,76333.090946,191598.02032,197246.1004,-368817208.3,18653028.872,0
AFG,MZ,gfdl,2050,best,-0.038304014,17971593.779,1229941784.2,-11852771.53,-459132811.3,81485.206101,204608.20787,211815.52887,-479010833.1,19878021.827,0
AFG,MZ,hadgem,2005,best,-0.041707595,56149755.449,561497554.49,-10896848.42,-108968484.2,111661.08593,167289.60501,163530.08269,-115636161.5,6667677.2951,0
AFG,MZ,hadgem,2020,best,-0.066266029,42792327.25,989420826.99,-15960423.08,-325959463.1,132600.00968,198205.58644,189091.36755,-346045819.2,20086356.095,0
AFG,MZ,hadgem,2030,best,-0.035132567,136637975.96,2355800586.6,-14916641.23,-477287882.5,163206.92542,242330.7597,229832.77291,-522311739.5,45023856.941,0
AFG,MZ,hadgem,2050,best,-0.007581568,66113444.244,3016935029,-16731578.46,-634119485,187696.64165,277654.33281,280812.39036,-682436743.2,48317258.183,0
AFG,RI,gfdl,2005,best,-1.037610324,162642999.48,1626429994.8,-219061318.5,-2190613185,77745.98336,164993.75187,185344.02325,-1377778430,370018743.04,-1182853498
AFG,RI,gfdl,2020,best,-0.682929313,182915303.09,3455583025.7,-140924573,-3783015119,81081.865284,167643.55944,187066.0363,-3121869268,718193311.89,-1379339163
AFG,RI,gfdl,2030,best,-0.765715088,161793770.99,5073520735.7,-133612944.7,-5147828368,83839.588648,170483.57312,190032.81756,-4725829606,1020670968.6,-1442669731
AFG,RI,gfdl,2050,best,-1.234596033,229785335.61,7371374091.8,-161197387.2,-7000128197,87086.553935,174173.28598,191524.35685,-6621540751,1548598145.9,-1927185593
AFG,RI,hadgem,2005,best,-1.016397487,260891482.03,2608914820.3,-225448564.4,-2254485644,115759.68238,176352.31759,189438.73517,-1897958162,695552016.73,-1052079499
AFG,RI,hadgem,2020,best,-0.651309806,236195990.97,4970874730,-168605033.2,-3966896806,117730.59345,177293.83023,195087.85252,-3848637984,1197806946.8,-1316065768
AFG,RI,hadgem,2030,best,-0.899118349,211432339.64,7085198126.5,-148191792.8,-5480084376,116764.87433,175114.10752,196735.7934,-5819861440,1670657621.9,-1330880558
AFG,RI,hadgem,2050,best,-1.217581139,155839582.59,8643593952.4,-182077304.6,-7110439253,117669.71903,175459.20284,196517.30364,-7505924361,2304984487.3,-1909499379
AFG,WH,gfdl,2005,best,-0.136719813,761559241.24,7615592412.4,-112067974.7,-1120679747,1341756.6709,2263803.6223,2239411.8711,-1242781744,122101996.97,0
AFG,WH,gfdl,2020,best,-0.103147139,759360462.58,15209197038,-91123279.61,-1728333010,1324740.3235,2238558.7162,2216763.0018,-1878404422,150071411.63,0
AFG,WH,gfdl,2030,best,-0.077289431,1042177362.2,25630970660,-48728481.78,-2464833118,1294809.6021,2191674.3556,2169307.7686,-3191429568,726596449.65,0
AFG,WH,gfdl,2050,best,-0.155070552,821460099,33845571650,-100987348.9,-2841217543,1263213.9584,2142363.1099,2119872.4249,-3410587338,569369795,0
AFG,WH,hadgem,2005,best,-0.141275067,804462512.74,8044625127.4,-169385909.7,-1693859097,1715738.2517,2245944.7304,2235314.6757,-1866606220,172747123.16,0
