ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,0.0305904941,347573111.58,3475731115.8,-21379733.43,-213797334.3,203991.79104,206052.31418,159953.4879,-273363846.4,59566512.11,0
AFG,MZ,gfdl,2020,best,0.0401467171,354236441.31,7018095528.9,-12912156.98,-272139918.1,226904.34172,229196.30477,178262.9911,-405169720.8,133029802.75,0
AFG,MZ,gfdl,2030,best,0.0698952547,440899164.5,11427087174,-11120352.53,-349937853.2,249995.69312,252520.90215,197246.0999,-557646195.9,207708342.76,0
AFG,MZ,gfdl,2050,best,0.0841434764,487104797.46,16298135148,-3583721.239,-77290194.84,267844.14555,270549.64197,211815.5284,-332215100.3,254924905.44,0
AFG,MZ,hadgem,2005,best,0.0069186192,331707914.65,3317079146.5,-18791278.55,-187912785.5,191285.58416,207777.66159,163530.0836,-223706527.6,35793742.083,0
AFG,MZ,hadgem,2020,best,0.0696523056,404503403.45,7362113181,-3619441.62,-106029342.5,225333.28676,244879.24784,189091.3685,-211257336.8,105227994.28,0
AFG,MZ,hadgem,2030,best,0.0317707747,454668978.91,11908802970,-444623.7781,-27224588.39,257153.72433,279541.22866,229832.7735,-192009517.3,164784928.94,0
AFG,MZ,hadgem,2050,best,0.0469691622,628566528.81,18194468258,3037965.8803,175484111.23,302733.44812,329600.43895,280812.3909,-26240635.34,201724746.58,0
AFG,RI,gfdl,2005,best,-0.32850228,85721986.845,857219868.45,-47120523.71,-471205237.1,105101.98751,165571.29678,185344.0234,-895211385.1,-70245515.94,494251663.96
AFG,RI,gfdl,2020,best,-0.282482169,87410471.176,1731324580.2,-35346183.49,-825310303.5,108250.40491,167514.80695,187066.036,-1791709233,-115498618.5,1081897548.3
