ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.107070084,180943338,1809433380,981651.65917,9816516.5917,189135.55255,191046.01268,159953.48754,-92344727.69,102161244.28,0
AFG,MZ,gfdl,2020,best,-0.026715525,169747780.62,3506911186.2,7599383.0951,170981643.73,211120.60664,213253.13802,178262.99081,-14346863.01,185328506.74,0
AFG,MZ,gfdl,2030,best,-0.03821495,212031853.44,5627229720.5,-4344122.904,-24249986.34,233566.55496,235925.81309,197246.1004,-249205896.1,224955909.72,0
AFG,MZ,gfdl,2050,best,0.0008812939,273442167.53,8361651395.9,566269.51082,125595893.91,250712.31486,253244.76248,211815.52887,-140030281.2,265626175.14,0
AFG,MZ,hadgem,2005,best,-0.105262115,179755584.42,1797555844.2,-3128932.492,-31289324.92,182373.64803,198184.14064,163530.08269,-56671027,25381702.084,0
AFG,MZ,hadgem,2020,best,0.0445523756,261766769.81,4415223542.3,11081825.984,201010862.2,217451.09768,236446.68493,189091.36755,129621800.56,71389061.643,0
AFG,MZ,hadgem,2030,best,0.0130503126,241736400.24,6832587544.7,3947664.9978,232310227.4,251824.63118,273948.83119,229832.77291,182166773.67,50143453.731,0
AFG,MZ,hadgem,2050,best,0.0191305915,454679220.07,11379379745,10933646.724,425757658.15,300437.15153,327393.98098,280812.39036,355036982.91,70720675.246,0
AFG,RI,gfdl,2005,best,-0.088083814,30316090.348,303160903.48,8060883.4772,80608834.772,110537.20987,176464.45479,185344.02325,-196281740.7,-16533900.15,293424475.64
AFG,RI,gfdl,2020,best,-0.064324421,31722343.255,620384336.04,16748806.787,239121110.46,113589.92864,178485.18433,187066.0363,-410515065.8,-15592968.99,665229145.25
AFG,RI,gfdl,2030,best,-0.120049066,43256472.806,1052949064.1,15842225.155,399039323.02,116696.56823,181250.16222,190032.81756,-613528657.2,-21698797.7,1034266777.9
AFG,RI,gfdl,2050,best,-0.246104798,44811113.152,1501060195.6,13412572.394,312217110.79,119643.33935,183337.40218,191524.35685,-1112635458,-20296851.86,1445149420.5
AFG,RI,hadgem,2005,best,-0.26938604,59559861.603,595598616.03,-18403818.73,-184038187.3,141949.91715,181289.19924,189438.73517,-561989743.5,-28511453.36,406463009.59
AFG,RI,hadgem,2020,best,-0.084979272,30495357.71,900552193.13,-6481291.239,-173108960.4,146630.51947,185294.41455,195087.85252,-972495208.5,-46509256.7,845895504.78
AFG,RI,hadgem,2030,best,-0.102434392,38112151.294,1281673706.1,4190149.3576,85504774.09,149453.66808,187660.70933,196735.7934,-1133674451,-5996442.409,1225175667.8
AFG,RI,hadgem,2050,best,-0.294616471,32311518.649,1604788892.6,-17617132.54,-174900899.2,149401.16742,187155.26418,196517.30364,-1623878399,-15734436.18,1464711936
AFG,WH,gfdl,2005,best,-0.013068154,106800217.39,1068002173.9,33429472.026,334294720.26,2082594.4997,2225429.1658,2239411.8711,-58372813.9,392667534.16,0
AFG,WH,gfdl,2020,best,-0.011177738,91449212.851,1982494302.4,-85453344.19,19980375.146,2060338.2927,2200575.281,2216763.0018,963692565.83,-943712190.7,0
AFG,WH,gfdl,2030,best,0.0132513248,188515263.11,3867646933.4,52794364.963,1951850183.4,2014040.3219,2150125.9678,2169307.7686,3551428086.6,-1599577903,0
AFG,WH,gfdl,2050,best,0.0043819399,125422574.67,5121872680.1,20236648.163,2314188609.7,1966417.934,2098231.9548,2119872.4249,4948533375.1,-2634344765,0
AFG,WH,hadgem,2005,best,-0.040991518,140860253.61,1408602536.1,-111307019.7,-1113070197,2116484.6475,2216283.1474,2235314.6757,-556863810.6,-556206385.9,0
AFG,WH,hadgem,2020,best,-0.017370832,103168444.73,2440286983.4,-135737434.2,-1785215786,2082414.689,2179376.9661,2207775.3215,256729883.79,-2041945670,0
AFG,WH,hadgem,2030,best,-0.011927015,128286550.18,3723152485.2,-107994615.3,-2248188023,2033703.4992,2127251.3884,2155849.9968,1310555699.5,-3558743723,0
AFG,WH,hadgem,2050,best,-0.010023955,78164773.793,4504800223.1,-96158067.42,-2715875768,1977488.5806,2067089.7225,2099548.8252,2405931505.3,-5121807273,0
AGO,MZ,gfdl,2005,best,-0.224259377,254198028.8,2541980288,-201241586.9,-2012415869,1174375.0384,1186237.4125,1142347.0374,-1930532198,-81883670.77,0
AGO,MZ,gfdl,2020,best,0.0333731794,78880765.887,3330787946.9,-31920915.06,-737327440.1,1276362.9968,1289255.5523,1234967.5332,-672469237.3,-64858202.74,0
AGO,MZ,gfdl,2030,best,-0.118399703,297981687.16,6310604818.4,-83625638.52,-1622019242,1377832.6525,1391750.1541,1327044.4442,-1081356981,-540662260.7,0
AGO,MZ,gfdl,2050,best,-0.057738942,509555569.5,11406160513,12669543.816,205179108.81,1453435.4952,1468116.6619,1392193.1683,825527908.52,-620348799.7,0
AGO,MZ,hadgem,2005,best,-0.142078093,262946010.42,2629460104.2,-167365302.1,-1673653021,1186628.5453,1198614.6922,1160797.3114,-1754549467,80896446.047,0
AGO,MZ,hadgem,2020,best,0.0630426459,33139076.64,2960850870.6,-3030199.472,-41725162.44,1324237.6051,1337613.7425,1286609.8432,-184639227.5,142914065.09,0
AGO,MZ,hadgem,2030,best,-0.061501558,398932780.46,6950178675.2,-22083823.96,806296037.22,1458817.3809,1473552.91,1408863.1831,1326330317.6,-520034280.4,0
AGO,MZ,hadgem,2050,best,-0.141673348,639239542.03,13342574095,11534389.226,157182988.53,1565005.6682,1580813.8063,1501724.1622,749164502.26,-591981513.7,0
AGO,WH,gfdl,2005,best,-1.075894883,659527.97889,6595279.7889,-200675.947,-2006759.47,2888.0013379,2917.1730686,2645.8796256,-1372982.252,-633777.2188,0
AGO,WH,gfdl,2020,best,-0.320217947,417604.07412,10771320.53,-32420.22817,-1276151.408,2370.048334,2393.9882162,2194.8231498,-636343.8151,-639807.593,0
AGO,WH,gfdl,2030,best,-0.306383747,194687.25333,12718193.063,-68648.79846,-2525611.326,1763.0789022,1780.8877799,1653.6616032,-1798973.622,-726637.7037,0
AGO,WH,gfdl,2050,best,-0.275755391,169180.63807,14409999.444,-22946.96292,-1644516.221,1464.47204,1479.2646869,1390.8314505,-917878.5169,-726637.7037,0
AGO,WH,hadgem,2005,best,-0.678368745,408690.52209,4086905.2209,-55622.61419,-556226.1419,2771.2951956,2799.2880763,2654.2029844,399485.38944,-955711.5313,0
AGO,WH,hadgem,2020,best,-0.387916841,402503.41712,8111939.392,78327.35896,716286.82439,2297.8053122,2321.0154668,2225.4034841,1777449.5322,-1061162.708,0
AGO,WH,hadgem,2030,best,-0.08412094,202459.66916,10136536.084,82483.338398,1463404.8345,1754.8137586,1772.5391501,1719.6760276,2549601.2375,-1086196.403,0
AGO,WH,hadgem,2050,best,-0.037864585,123696.66474,11373502.731,71681.495282,2119583.8535,1517.7562204,1533.0870914,1505.6608386,3318620.4048,-1199036.551,0
ALB,WH,gfdl,2005,best,-0.050462756,1780741.8499,17807418.499,-15036608.79,-150366087.9,77424.411633,78206.476397,78423.314958,-152052911.8,1686823.8524,0
ALB,WH,gfdl,2020,best,-0.030010929,1363245.6761,31439875.26,-13279410.34,-252273710.7,76239.557496,77009.654036,77207.91968,-242332862.4,-9940848.323,0
ALB,WH,gfdl,2030,best,-0.027966429,1478423.1349,46224106.609,-12897289.1,-331901816.6,74563.299539,75316.464181,75536.90389,-289482115.9,-42419700.69,0
ALB,WH,gfdl,2050,best,-0.007142586,4821604.3053,94440149.662,-7527273.547,-339245630,73179.890345,73919.081157,74126.897696,-295404258.4,-43841371.56,0
ALB,WH,hadgem,2005,best,-0.053350101,2642429.9738,26424299.738,-14970481.31,-149704813.1,77027.108062,77805.159659,78122.271005,-153389543.6,3684730.4229,0
ALB,WH,hadgem,2020,best,-0.032393811,541002.16324,31834321.371,-14663071.31,-255457114.2,75567.775324,76331.086186,76611.786314,-225022263.2,-30434851.02,0
