ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,0.164718671,485792750.35,4857927503.5,-14436653.48,-144366534.8,209095.58093,211207.6575,159953.48754,-196055395.4,51688860.655,0
AFG,MZ,gfdl,2020,best,0.1777558355,534966321.88,10207590722,-5354341.192,-135919126.1,232506.84223,234855.39619,178262.99081,-268129149.7,132210023.59,0
AFG,MZ,gfdl,2030,best,0.1319975755,631351040.59,16521101128,-2867327.41,-142675064.2,255869.3052,258453.84363,197246.1004,-369317720.5,226642656.31,0
AFG,MZ,gfdl,2050,best,0.116487198,691091846.79,23432019596,987760.9674,130709261.92,273928.21347,276695.16512,211815.52887,-141081338.8,271790600.68,0
AFG,MZ,hadgem,2005,best,0.1184581413,492338876.79,4923388767.9,-24015621.91,-240156219.1,195084.25696,211573.1847,163530.08269,-282119891.1,41963671.988,0
AFG,MZ,hadgem,2020,best,0.1089434701,575029256.08,10673681329,-10497582.13,-245531581.6,228487.95094,247942.35517,189091.36755,-365038864.7,119507283.07,0
AFG,MZ,hadgem,2030,best,0.0441490873,632464199.2,16998323321,-2679383.531,-137416601.5,257812.0729,279830.63403,229832.77291,-345195073.9,207778472.38,0
AFG,MZ,hadgem,2050,best,0.0852728575,772354602.78,24721869348,538054.32898,91453771.327,297986.56738,323890.71088,280812.39036,-162273659.1,253727430.45,0
AFG,RI,gfdl,2005,best,-0.662605635,234351650.14,2343516501.4,-131565966.8,-1315659668,103780.2251,160251.28454,185344.02325,-2111728515,-185955235.6,982024082.33
AFG,RI,gfdl,2020,best,-0.607893272,249590628.15,4839422783,-137748094.4,-2863525509,106174.25442,160845.08669,187066.0363,-4564226825,-338116344.6,2038817660
