ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,0.030160422,228283334.2,2282833342,-14061829.75,-140618297.5,134187.5412,193632.8164,159953.4879,-179824085.8,39205788.33,0
AFG,MZ,gfdl,2020,best,0.040075165,232664325,4609476592,-8504236.366,-179212414.9,149161.7173,215240.5742,178262.9911,-266751679.1,87539264.21,0
AFG,MZ,gfdl,2030,best,0.069692847,290179101.9,7511267611,-7316411.734,-230300120.2,164617.9172,237543.893,197246.0999,-367012900.6,136712780.4,0
AFG,MZ,gfdl,2050,best,0.084201852,320924513.1,10720512742,-2380720.906,-51725893.95,176632.8526,254881.4622,211815.5284,-219508620.4,167782726.4,0
AFG,MZ,hadgem,2005,best,0.007155282,215289222.8,2152892228,-12179648.7,-121796487,124018.4313,192411.2599,163530.0836,-145012139.7,23215652.74,0
AFG,MZ,hadgem,2020,best,0.069988069,261532145.5,4768213683,-2302734.333,-67743219.61,145482.7174,225790.4571,189091.3685,-135863058,68119838.42,0
AFG,MZ,hadgem,2030,best,0.036835659,327560807,8043821753,18548.03867,-26093165.98,181217.2316,281783.8725,229832.7735,-141597727.2,115504561.2,0
AFG,MZ,hadgem,2050,best,0.047094795,444193169.7,12485753450,1591275.904,102343218,214466.7997,333997.8943,280812.3909,-38765469.68,141108687.7,0
AFG,RI,gfdl,2005,best,-0.318435282,35807330.06,358073300.6,-19265436.57,-192654365.7,45085.09181,178998.4012,185344.0234,-371712374.9,-29289281.01,208347290.3
AFG,RI,gfdl,2020,best,-0.27586007,36717200.76,725245308.2,-14343055.59,-337994505.3,46456.18624,181299.2863,187066.036,-747243917.3,-48133799.95,457383212
AFG,RI,gfdl,2030,best,-0.322035466,40218127.6,1127426584,-10897011.97,-420350644.1,47332.24725,182989.0758,190032.8178,-1080944905,-73207739.07,733801999.6
AFG,RI,gfdl,2050,best,-0.536840666,43095548.86,1558382073,-12865622.6,-633104405,48087.53337,183596.521,191524.356,-1553389919,-97645216.16,1017930730
AFG,RI,hadgem,2005,best,-0.527593572,51897277.52,518972775.2,-30016831.75,-300168317.5,58232.99627,185062.1527,189438.7353,-543603841.3,-44420089.05,287855612.8
AFG,RI,hadgem,2020,best,-0.273625488,38431707.43,903289849.6,-23229877.36,-470958114.9,59883.05111,188573.685,195087.8527,-964189730.3,-70719758.41,563951373.7
AFG,RI,hadgem,2030,best,-0.342322198,38448868.85,1287778538,-23003344.27,-614571703.4,59784.06291,187890.5699,196735.7944,-1316654814,-21963484.88,724046595.4
AFG,RI,hadgem,2050,best,-0.627116555,36934353.89,1657122077,-22206521.1,-866197937.5,59766.96509,187412.232,196517.3033,-1794954449,-41348559.51,970105071.4
AFG,WH,gfdl,2005,best,-0.055104806,400255867.1,4002558671,62326230.56,623262305.6,1447403.165,2231024.941,2239411.873,364156259.7,259106045.9,0
AFG,WH,gfdl,2020,best,-0.035326869,478588756.6,8788446237,47749547.34,1125881531,1432791.265,2207498.771,2216763.004,778560023.5,347321507.5,0
AFG,WH,gfdl,2030,best,-0.040827963,519698362.3,13985429861,49371664.53,1373595792,1402184.267,2159368.424,2169307.767,798836458.6,574759333.2,0
AFG,WH,gfdl,2050,best,-0.041718921,518660986.5,19172039726,-21345270.72,1633256422,1370880.94,2110094.744,2119872.426,1695933061,-62676639.36,0
AFG,WH,hadgem,2005,best,-0.078405231,396669325,3966693250,-18495263.02,-184952630.2,1436234.928,2223193.506,2235314.673,-383858117.6,198905487.4,0
AFG,WH,hadgem,2020,best,-0.044988908,490769588.1,8874389132,-16922657.92,-46307840.06,1414992.116,2190216.641,2207775.323,-151973496.6,105665656.5,0
AFG,WH,hadgem,2030,best,-0.044598581,534417841.2,14218567543,-20287345.62,-26332696.15,1375992.637,2130034.928,2155849.997,106312655.3,-132645351.5,0
AFG,WH,hadgem,2050,best,-0.068754535,441637648.2,18634944025,-89937106.76,-641375911.2,1338860.028,2072806.555,2099548.825,520854010.6,-1162229922,0
AGO,MZ,gfdl,2005,best,-0.331528592,455828901.5,4558289015,-79859816.16,-798598161.6,813083.7187,1211781.011,1142347.037,-701561248.2,-97036913.41,0
AGO,MZ,gfdl,2020,best,-0.289191503,436202357.3,8920312588,-121012926.2,-2504047555,887412.4128,1322633.204,1234967.535,-2393762759,-110284795.8,0
AGO,MZ,gfdl,2030,best,-0.129969452,520473941.9,14125052007,-52760440.72,-1466357365,961940.206,1433873.008,1327044.435,-1242702243,-223655122,0
AGO,MZ,gfdl,2050,best,-0.31022023,994891466.6,24073966672,-47790734,-2188241506,1018840.943,1518741.496,1392193.159,-1982238726,-206002780.6,0
