ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,-0.107604326,120159714.78,1201597147.8,709849.22404,7098492.2404,125790.66594,181516.11323,159953.48754,-60955180.68,68053672.92,0
AFG,MZ,gfdl,2020,best,-0.026397467,112595823.94,2327555387.2,5079096.281,114284050.22,140113.78884,202184.40034,178262.99081,-9121171.027,123405221.24,0
AFG,MZ,gfdl,2030,best,-0.03858061,140665075.07,3734206138,-2886460.417,-15626785.89,155098.97847,223808.05069,197246.1004,-165251104.4,149624318.56,0
AFG,MZ,gfdl,2050,best,0.0008511244,181940838.25,5553614520.4,372483.86414,83348266.99,166891.61158,240824.83733,211815.52887,-93334520.28,176682787.27,0
AFG,MZ,hadgem,2005,best,-0.104466998,116808776.82,1168087768.2,-2083949.765,-20839497.65,118053.24897,183192.38382,163530.08269,-37302496.96,16462999.313,0
AFG,MZ,hadgem,2020,best,0.0449446964,169616549.57,2864253263.9,7198458.725,130473832.06,140608.75622,218317.22977,189091.36755,84052490.987,46421341.069,0
AFG,MZ,hadgem,2030,best,0.0291683082,182575899.81,4690012262,3368781.5421,149136660.97,174637.91264,271620.2405,229832.77291,103541256.72,45595404.252,0
AFG,MZ,hadgem,2050,best,0.0191098986,305662289.93,7746635161.3,6923572.1749,281257273.52,201976.68669,314487.6828,280812.39036,221901530.02,59355743.495,0
AFG,RI,gfdl,2005,best,-0.087961322,12650847.323,126508473.23,3376446.2464,33764462.464,46160.409052,184260.58382,185344.02325,-81839904.22,-6900166.206,122504532.89
AFG,RI,gfdl,2020,best,-0.064408089,13306774.495,259576218.18,7011775.1369,99581769.233,47595.050333,186855.62234,187066.0363,-172280697.6,-6511990.123,278374457
AFG,RI,gfdl,2030,best,-0.119487696,17904362.332,438619841.51,6561614.4625,167991439.24,48468.72128,188633.66978,190032.81756,-254230758.4,-9035730.565,431257928.19
AFG,RI,gfdl,2050,best,-0.243377884,18232531.148,620945152.98,5393696.2717,131870071.32,49134.387191,188866.78166,191524.35685,-459052118.7,-8462986.356,599385176.37
AFG,RI,hadgem,2005,best,-0.270860571,25001649.543,250016495.43,-7830739.234,-78307392.34,59164.036931,188537.11462,189438.73517,-236397123.8,-11978272.92,170068004.38
AFG,RI,hadgem,2020,best,-0.084834496,12627135.769,376287853.12,-2735080.533,-71354949.69,60801.119721,192133.77957,195087.85252,-404187751.6,-19419335.35,352252137.31
AFG,RI,hadgem,2030,best,-0.097646777,15193131.099,528219164.1,1596171.815,41669921.137,60829.561934,191889.06545,196735.7934,-460686898.5,-2973388.514,505330208.1
AFG,RI,hadgem,2050,best,-0.286120276,12845758.559,656676749.7,-7400471.717,-69462876.38,61222.919671,192475.35913,196517.30364,-663753305.1,-7170682.764,601461111.45
AFG,WH,gfdl,2005,best,-0.013148121,74102816.918,741028169.18,23272834.996,232728349.96,1443934.6545,2225680.4483,2239411.8711,-41775176.92,274503526.88,0
AFG,WH,gfdl,2020,best,-0.011488856,63816846.18,1379196631,-61168535.8,2641128.3092,1428714.6253,2201134.2373,2216763.0018,679645918.9,-677004790.6,0
AFG,WH,gfdl,2030,best,0.0133884852,132269821.53,2701894846.3,36110360.278,1358527410,1397673.1121,2152292.0828,2169307.7686,2511642896.8,-1153115487,0
AFG,WH,gfdl,2050,best,0.0043699842,87356401.466,3575458860.9,14359232.694,1608189416.5,1365699.9924,2101932.6048,2119872.4249,3490283435.1,-1882094019,0
AFG,WH,hadgem,2005,best,-0.041474507,96765713.128,967657131.28,-75451222.55,-754512225.5,1435303.3951,2221459.5516,2235314.6757,-379945566.2,-374566659.3,0
AFG,WH,hadgem,2020,best,-0.017533006,71637542.204,1684032553.3,-93313238.22,-1212213960,1412852.0914,2186683.5375,2207775.3215,190970163.83,-1403184123,0
AFG,WH,hadgem,2030,best,-0.015150728,89181788.718,2575850440.5,-88320652.95,-1696802286,1374098.5019,2126906.4247,2155849.9968,884382549.68,-2581184836,0
AFG,WH,hadgem,2050,best,-0.011529199,56534666.953,3141197110,-82854667.32,-2090950845,1339875.672,2074147.071,2099548.8252,1758374219.6,-3849325064,0
AGO,MZ,gfdl,2005,best,-0.230529027,174881064.04,1748810640.4,-143101549.3,-1431015493,785773.71701,1172315.563,1142347.0374,-1361270044,-69745449.19,0
AGO,MZ,gfdl,2020,best,0.0358247043,52060872.031,2269419360.7,-23813373.71,-556869848.9,852170.34253,1271632.5751,1234967.5332,-497981325.3,-58888523.61,0
AGO,MZ,gfdl,2030,best,-0.123669719,203913213.28,4308551493.5,-62171731.83,-1230772148,918737.03534,1371300.6755,1327044.4442,-825249459.2,-405522688.8,0
AGO,MZ,gfdl,2050,best,-0.06427723,351193466.28,7820486156.3,2532816.6658,-114488673.5,967486.28321,1444315.4353,1392193.1683,354274464.89,-468763138.4,0
AGO,MZ,hadgem,2005,best,-0.148549424,182639578.14,1826395781.4,-125182118.7,-1251821187,795149.94164,1186529.9372,1160797.3114,-1302327536,50506349.159,0
AGO,MZ,hadgem,2020,best,0.0660399741,20587858.358,2032274364.9,-7507796.215,-141366388.4,884801.22322,1320708.4556,1286609.8432,-233589550.9,92223162.44,0
AGO,MZ,hadgem,2030,best,-0.074416682,276987226.52,4802146630.1,-29441928.31,197013282.56,972761.81492,1452451.4103,1408863.1831,598814104.85,-401800822.3,0
