ISO3,CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
AFG,MZ,gfdl,2005,best,0.1643237689,319241596.12,3192415961.2,-9529891.417,-95298914.17,137847.47333,198914.10377,159953.48754,-129361113.5,34062199.314,0
AFG,MZ,gfdl,2020,best,0.1771053291,351198803.62,6704403997.4,-3476087.107,-88504305.35,153186.34496,221048.11775,178262.99081,-175611267.2,87106961.836,0
AFG,MZ,gfdl,2030,best,0.1317590728,415830285.29,10862706850,-1785292.109,-91513071.68,168850.76356,243651.8965,197246.1004,-241150668.6,149637596.95,0
AFG,MZ,gfdl,2050,best,0.1166634346,454315159.46,15405858445,721369.66894,89488215.578,180901.41523,261041.00431,211815.52887,-89817437.42,179305653,0
AFG,MZ,hadgem,2005,best,0.1182953279,321758772.98,3217587729.8,-15753928.94,-157539289.4,127790.20703,198048.22395,163530.08269,-185021399.7,27482110.233,0
AFG,MZ,hadgem,2020,best,0.1088259923,373785873.44,6955446464.3,-6858473.783,-160120828.2,148606.7297,230385.33839,189091.36755,-238036401.2,77915573.015,0
AFG,MZ,hadgem,2030,best,0.0412936628,452732279.43,11482769259,-1976169.559,-110053970.8,185601.11152,288366.92707,229832.77291,-252311772.3,142257801.52,0
AFG,MZ,hadgem,2050,best,0.0854870335,564053276.47,17123302023,-518948.6107,22345538.435,219880.69232,342210.28859,280812.39036,-152963702.6,175309241.08,0
AFG,RI,gfdl,2005,best,-0.63376576,97260613.035,972606130.35,-53773189.69,-537731896.9,45173.434619,177491.14258,185344.02325,-870605000,-76303470.36,409176573.39
AFG,RI,gfdl,2020,best,-0.579529829,103440865.29,2007014783.2,-56228831.39,-1172039390,46306.52742,178842.06833,187066.0363,-1885248358,-138614087.6,851823055.46
AFG,RI,gfdl,2030,best,-0.620329459,93280789.221,2939822675.5,-47972731.8,-1612749334,46997.206935,179748.1811,190032.81756,-2769346476,-206297272.1,1362894413.8
AFG,RI,gfdl,2050,best,-0.81774802,81817789.731,3758000572.8,-51304048.19,-2108561131,47548.239104,179594.80845,191524.35685,-3669490388,-260988059,1821917316
AFG,RI,hadgem,2005,best,-0.798496241,106803014.65,1068030146.5,-66382840.29,-663828402.9,58229.608822,183967.91108,189438.73517,-1085587557,-93003272.44,514762426.72
AFG,RI,hadgem,2020,best,-0.57346597,122104484.36,2289074990.1,-60543173.56,-1237586224,59960.20967,187616.07878,195087.85252,-2107827285,-160594914.1,1030835975.5
AFG,RI,hadgem,2030,best,-0.760188483,106717262.65,3356247616.6,-76514741.36,-1933268511,59777.703542,186703.13688,196735.7934,-3057543238,23200495.341,1101074231.7
AFG,RI,hadgem,2050,best,-1.010412718,80022597.883,4156473595.5,-57837975.62,-2430922733,59836.115044,186469.01598,196517.30364,-3969090271,-31947989.11,1570115527.7
AFG,WH,gfdl,2005,best,-0.085837244,777728362.73,7777283627.3,78099269.853,780992698.53,1446000.0074,2229242.4654,2239411.8711,552808201.88,228184496.64,0
AFG,WH,gfdl,2020,best,-0.041480927,937751510.26,17154798730,102202412,1772173474.9,1430056.9689,2203738.7972,2216763.0018,1043929716.5,728243758.35,0
AFG,WH,gfdl,2030,best,-0.077194916,1004201054.3,27196809273,48095622.612,875979625.51,1398920.7145,2154838.5031,2169307.7686,-499830538.4,1375810164,0
AFG,WH,gfdl,2050,best,-0.076717681,987842928.58,37075238559,11454771.75,1965250437.1,1367478.5203,2105391.6472,2119872.4249,633190074.2,1332060362.9,0
AFG,WH,hadgem,2005,best,-0.12822231,800001657.82,8000016578.2,-91495081.75,-914950817.5,1433822.4751,2219255.8022,2235314.6757,-1180692318,265741500.18,0
