CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
MZ,gfdl,2005,best,-0.193607025,29206136227,292061362275,-25610756481,-2.561076E11,60677840.524,142857710.93,140638631.64,-2.201224E11,-35985149425,0
MZ,gfdl,2020,best,-0.152570883,32536688111,617428243384,-18581688031,-3.858161E11,63714220.379,150408387.94,148219181.83,-3.28028E11,-57788005312,0
MZ,gfdl,2030,best,-0.132463598,35627680132,973705044707,-16099195453,-4.795363E11,66768828.713,158124318.46,155859352.99,-3.911344E11,-88401810749,0
MZ,gfdl,2050,best,-0.129161141,39287606863,1.3665811E12,-14866510469,-5.62459E11,68810498.75,164064162.48,161767583.4,-4.338561E11,-1.286029E11,0
MZ,hadgem,2005,best,-0.195925856,28747979518,287479795180,-26145615469,-2.614562E11,60670430.344,144807343.87,142628062.27,-2.052408E11,-56215356198,0
MZ,hadgem,2020,best,-0.152642103,32023542865,607715223828,-20111290899,-4.033303E11,64474392.917,154266261.16,152296158.16,-2.920041E11,-1.113262E11,0
MZ,hadgem,2030,best,-0.142070057,36314869212,970863915944,-17266833249,-5.123858E11,67807414.971,162512891.61,160774761.9,-3.425869E11,-1.697989E11,0
MZ,hadgem,2050,best,-0.133824945,38925048957,1.3601144E12,-16374810170,-6.11936E11,69861272.395,168316780.9,166841768.03,-3.711853E11,-2.407507E11,0
RI,gfdl,2005,best,-0.641118296,101862729627,1.0186273E12,-77740775203,-7.774078E11,63511197.524,125729441.71,130281386.56,-9.617561E11,-58547961826,242896273770
RI,gfdl,2020,best,-0.656919255,103535834118,2.0539856E12,-73166693440,-1.492331E12,64865501.699,125658792.18,130504179.72,-1.890024E12,-1.614666E11,559160102296
RI,gfdl,2030,best,-0.72182711,108820092209,3.1421866E12,-73484770740,-2.20574E12,66120501.009,125260410.23,129939339.04,-2.802879E12,-2.7995E11,877088992480
RI,gfdl,2050,best,-0.725529732,107750455441,4.2196911E12,-70621756162,-2.887465E12,67401263.338,125050273.31,129468280.43,-3.704516E12,-4.106579E11,1.2277082E12
RI,hadgem,2005,best,-0.617715858,101874054367,1.0187405E12,-77428623726,-7.742862E11,64630348.995,128523179.21,133374418.45,-9.720691E11,-50622353371,248405202486
RI,hadgem,2020,best,-0.62998166,94463076782,1.9633713E12,-81590700426,-1.508745E12,65841182.148,128205288.87,133415357.13,-1.781243E12,-70018086008,342515273168
RI,hadgem,2030,best,-0.683708476,106356456217,3.0269359E12,-65086911357,-2.145049E12,66925756.296,127543145.04,132641133.02,-2.650015E12,-1.745262E11,679492791259
RI,hadgem,2050,best,-0.711917591,105623360741,4.0831695E12,-64315903123,-2.758742E12,67977087.662,127055674.57,131920973.53,-3.494067E12,-2.981438E11,1.033468E12
WH,gfdl,2005,best,-0.17988537,24265146088,242651460884,-19064717903,-1.906472E11,98315104.489,199258895.19,200465118.27,-1.363316E11,-54315591043,0
WH,gfdl,2020,best,-0.188845995,25312372797,495775188853,-21055381796,-3.647742E11,99308437.613,200723211.01,202292439.3,-1.998095E11,-1.649646E11,0
WH,gfdl,2030,best,-0.146752657,24462340684,740398595691,-16974340093,-4.934551E11,99580564.928,200591163.07,202367576.04,-2.381207E11,-2.553345E11,0
WH,gfdl,2050,best,-0.227118554,24753874170,987937337395,-21755078658,-6.618528E11,99497180.628,199931548.25,201781081.68,-2.519567E11,-4.098961E11,0
WH,hadgem,2005,best,-0.19505455,28406469415,284064694147,-19824522091,-1.982452E11,101579323.69,192982138.19,194441996.76,-1.513803E11,-46864907796,0
WH,hadgem,2020,best,-0.190990053,30035640668,584421100829,-20419329090,-3.611649E11,102749207.31,194037697.57,195958141.77,-2.202135E11,-1.409515E11,0
WH,hadgem,2030,best,-0.156647704,32349633345,907917434276,-16283250660,-4.825932E11,104134555.82,195349285.65,197475379.81,-2.682139E11,-2.143793E11,0
WH,hadgem,2050,best,-0.155469964,32627711666,1.2341946E12,-15515526703,-5.83178E11,105791289.65,197305652.3,199890869.22,-2.848578E11,-2.983201E11,0
