CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
MZ,gfdl,2005,best,-0.19360679,29205802995,292058029949,-25610590136,-2.561059E11,60677390.107,142859056.36,140638631.64,-2.201205E11,-35985405656,0
MZ,gfdl,2020,best,-0.152570696,32536357487,617421604815,-18581568798,-3.858138E11,63713724.291,150411985.81,148219181.83,-3.280254E11,-57788417764,0
MZ,gfdl,2030,best,-0.132463486,35627455536,973696160174,-16099146864,-4.795346E11,66768504.958,158128595.49,155859352.99,-3.911321E11,-88402516533,0
MZ,gfdl,2050,best,-0.129161388,39287326295,1.3665694E12,-14866444293,-5.624567E11,68810012.028,164067886.67,161767583.4,-4.338531E11,-1.286037E11,0
MZ,hadgem,2005,best,-0.195921894,28748018919,287480189186,-26145233839,-2.614523E11,60670904.358,144804346.25,142628062.27,-2.052399E11,-56212407276,0
MZ,hadgem,2020,best,-0.152639236,32024040044,607720589626,-20111554955,-4.033319E11,64476501.848,154266133.35,152296158.16,-2.92008E11,-1.11324E11,0
MZ,hadgem,2030,best,-0.142068387,36315109262,970871682243,-17266944888,-5.123873E11,67808364.504,162512824.51,160774761.9,-3.425908E11,-1.697965E11,0
MZ,hadgem,2050,best,-0.133824159,38925013515,1.3601218E12,-16374785465,-6.119357E11,69861407.402,168316009.38,166841768.03,-3.711885E11,-2.407472E11,0
RI,gfdl,2005,best,-0.638988851,101689432768,1.0168943E12,-82327716491,-8.232772E11,65122551.822,125732708.64,130284284.21,-9.504246E11,-28185652240,155333101117
RI,gfdl,2020,best,-0.659005296,103383273703,2.0507271E12,-78260486254,-1.589543E12,66464184.285,125662202.71,130507483.75,-1.868171E12,-1.003349E11,378962879223
RI,gfdl,2030,best,-0.717818716,108582753822,3.1365546E12,-77744996003,-2.344823E12,67709429.029,125264432.15,129943061.63,-2.769002E12,-1.92324E11,616502641464
RI,gfdl,2050,best,-0.722115486,107730770780,4.2138623E12,-73846476502,-3.063222E12,68981944.59,125055237.2,129472394.53,-3.665248E12,-2.974475E11,899473326772
RI,hadgem,2005,best,-0.616013943,100827018860,1.0082702E12,-81399591863,-8.139959E11,66043037.381,128538971.36,133377324.07,-9.525643E11,-11665837967,150234227917
RI,hadgem,2020,best,-0.628992205,94399278480,1.952263E12,-84997105793,-1.587482E12,67240114.04,128204350.93,133418690.84,-1.752158E12,-8332506071,173008907665
RI,hadgem,2030,best,-0.685126926,105944340252,3.0117064E12,-69630222878,-2.276197E12,68317232.345,127540717.13,132644917.41,-2.616857E12,-98603878731,439263849711
RI,hadgem,2050,best,-0.708208188,105600999595,4.0677164E12,-66656937120,-2.919139E12,69364099.025,127058517.89,131925191.21,-3.45764E12,-1.993339E11,737834563548
WH,gfdl,2005,best,-0.179888214,24265215166,242652151663,-19063867152,-1.906387E11,98313142.745,199257584.72,200465118.27,-1.363301E11,-54308541701,0
WH,gfdl,2020,best,-0.188846577,25312510462,495777256287,-21054798280,-3.647618E11,99306931.754,200720164.83,202292439.3,-1.998105E11,-1.649513E11,0
WH,gfdl,2030,best,-0.14675343,24462956412,740406820407,-16973846427,-4.934394E11,99579078.457,200586827.92,202367576.04,-2.381245E11,-2.553149E11,0
WH,gfdl,2050,best,-0.22711759,24753322902,987940049429,-21754433477,-6.618287E11,99495324.689,199929496.25,201781081.68,-2.519592E11,-4.098695E11,0
WH,hadgem,2005,best,-0.195062532,28406786083,284067860833,-19826870663,-1.982687E11,101580797.53,192985001.75,194441996.76,-1.513813E11,-46887413450,0
WH,hadgem,2020,best,-0.190996965,30036689129,584434752127,-20420782581,-3.612035E11,102751353.45,194040887.78,195958141.77,-2.202165E11,-1.40987E11,0
WH,hadgem,2030,best,-0.156657126,32350413960,907938891730,-16284314711,-4.826405E11,104136015.61,195351430.64,197475379.81,-2.682156E11,-2.144249E11,0
WH,hadgem,2050,best,-0.155469614,32627729421,1.2342162E12,-15515524201,-5.832221E11,105791448.35,197306555.69,199890869.22,-2.848559E11,-2.983662E11,0
