CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
MZ,gfdl,2005,best,-0.089712214,26941804422,269418044217,-9381968422,-93819684222,61766953.647,143731788.99,143192599.74,-1.818441E11,88024387667,0
MZ,gfdl,2020,best,-0.052239097,28607285753,555490901743,-3270844038,-74729023408,64798730.251,151382081.1,150909654.45,-2.600899E11,185360917986,0
MZ,gfdl,2030,best,-0.032055752,29617857487,851669476611,175543561.45,-1714995737,67941801.275,159205305.2,158715469.9,-2.83247E11,281532028269,0
MZ,gfdl,2050,best,-0.020144437,32246730083,1.1741368E12,2659859951.7,103949144898,70303774.395,165215416.22,164763381.44,-2.72242E11,376191122083,0
MZ,hadgem,2005,best,-0.088851692,26287962873,262879628733,-8430597859,-84305978592,61773949.263,146756175.32,146244663.36,-1.593425E11,75036485570,0
MZ,hadgem,2020,best,-0.046735641,28452010527,547399734005,-1723114184,-42914071673,65320602.436,156455202.44,156197180.06,-2.014388E11,158524759123,0
MZ,hadgem,2030,best,-0.032807061,30014392609,847543660095,1973051911.5,48435650696,68357734.036,164963211.2,164947643.56,-1.947294E11,243165092009,0
MZ,hadgem,2050,best,-0.022068665,31154278302,1.1590864E12,2756329578.6,149368254441,70309620.808,170980288.02,171236659.66,-1.618135E11,311181765580,0
RI,gfdl,2005,best,-0.44336771,42766027980,427660279795,-21821446437,-2.182145E11,31582017.314,132143072.99,133981315.79,-3.738094E11,-3986176334,159581065068
RI,gfdl,2020,best,-0.518426364,44159801880,869258298591,-21894252377,-4.426509E11,31956707.275,132208473.96,134214907.3,-7.586065E11,-22032275553,337987870366
RI,gfdl,2030,best,-0.563929239,46082624607,1.3300845E12,-21764675999,-6.578115E11,32225733.772,131698795.34,133609356.6,-1.134181E12,-33424000689,509793003961
RI,gfdl,2050,best,-0.588292334,44786390966,1.7779485E12,-24903551698,-8.999899E11,32526586.479,131259085.03,133050040.46,-1.503098E12,-77058846858,680166791865
RI,hadgem,2005,best,-0.484483997,42262636497,422626364973,-23390599629,-2.33906E11,30316027.76,137295389,139453928.41,-3.915314E11,125576809.39,157499862133
RI,hadgem,2020,best,-0.529097977,42504708538,847673450349,-24166745818,-4.61295E11,30647945.251,137378917.21,139761091.57,-7.545059E11,-31929574782,325140521338
RI,hadgem,2030,best,-0.575829492,43810340047,1.2857769E12,-22466516710,-6.713157E11,30848825.609,136778051.72,139126012.71,-1.109792E12,-48933415887,487409950936
RI,hadgem,2050,best,-0.613177063,43396457161,1.7197414E12,-24585120938,-9.000171E11,31082449.561,136234884.81,138476415.3,-1.456857E12,-93147852019,649987316667
WH,gfdl,2005,best,-0.046035246,24133443485,241334434850,-1422294540,-14222945402,105511326.12,205070660.78,206590258.14,-70357196373,56134250970,0
WH,gfdl,2020,best,-0.041716885,25760875583,498943190682,-2435801723,-5037237510,106429297.46,206487607.73,208431783.08,-73626942494,68589704984,0
WH,gfdl,2030,best,-0.01685314,29698205858,795925249261,1833200122.7,67583165214,106460060.86,206369898.97,208517589.38,-29007811495,96590976709,0
WH,gfdl,2050,best,-0.071585157,26631735111,1.0622426E12,-457158081.9,105335811046,106141367,205743783.64,207956975.97,17755220208,87580590838,0
WH,hadgem,2005,best,-0.030910145,27823207734,278232077342,2263119570.2,22631195702,107580518.65,196642596.61,198236547.04,-68580192799,91211388501,0
WH,hadgem,2020,best,0.0087839629,30221759471,580449672054,4976624981.7,115594252200,108565990.28,197923058.4,199934990.7,-50766772236,166361024436,0
WH,hadgem,2030,best,0.008955067,34364503363,924094705686,7656575523.3,240988511601,109640184.1,199484249.6,201663665.46,-2907402103,243895913704,0
WH,hadgem,2050,best,0.0397560883,32725124961,1.251346E12,11490162187,400159832418,111090919.73,201862287.38,204339079.74,55149729127,345010103291,0
